user_id,nb_interactions,nb_products,recency_days
AEBHD4YLKOL6LOF7ZAP7RHYKQAPQ,3,3,229
AEBIQICUNDRDP6YCUGOCC7GTIEPQ,2,2,2871
AEBISU5SIQN5HOFNMY4OQL6C4QJQ,1,1,3082
AEBJ4SUV5OQENDB2EPXUQKXEU6JA,2,2,2136
AEBL2OJWAOEG5JTZDT64ADPLSLBQ,7,7,2245
AEBLCHCESVOG4V4FFTT2F3QC2ZLQ,3,3,122
AEBNSOBHLXB4KZOBVYIOORKF7BZQ,1,1,3610
AEBNTHYV4OUJD3W7CHID55QAIOSQ,1,1,1722
AEBOX3VURJY6CTZCLHPYCTVADRNQ,1,1,2947
AEBPDUY4HIPRXZ4YH55XOB7M6Y2A,1,1,1937
AEBQ5WZ3O3H5UZQFB3WAOQ4KBYMA,1,1,697
AEBQTMAMKQWHOLTR4CYXKKZWXSMA,1,1,2258
AEBV7EWLGRTRRJCHN73RYFM6EOBA,18,18,26
AEBWL33GSNKG3JIUPBW4RPTVGYGA,2,2,5139
AEC2MJZGFAK2UNNWWV7NGXQWQZHQ,2,2,67
AEC3D75RF7TIGCQECDVTKQVIGEMA,1,1,51
AEC4USL3AGDC4UZXCGL6AYRUCBBQ,1,1,202
AEC5V34TPJOF63AW677YFLFL2O2A,3,3,605
AEC6MVPIPSLIVH7MQMW3U5XFND5A,12,12,858
AEC7G5VBKTZL7FDURSHPTCSH6SJQ,1,1,3209
AECABX3OO3GK7FCPZLFM3LT2E6UA,37,37,417
AECBGBU5TUVNJ2C7IXIN5UQBLITQ,1,1,2400
AECEKXENKICRDJMRX6JMACUJIBNA,1,1,3042
AECFKOHKOZQ6OKTH2L2H3O6UE5FA,3,3,2650
AECFNYM6K5MPHW6K4KLOO7LPFDHA,1,1,1160
AECFPQ7LHOHU467275YKR7SDG23A,2,2,148
AECGR42H24LUU7DA7HEUMCRLTX7Q,13,13,173
AECHB52QONJJCMFN35YBRV6AKRTQ,6,6,816
AECHLFVTT6FNIXXG7N7VUU4BNCIQ,2,2,635
AECHVBXH7FJUAZFS7XXIPZ5S622A,3,3,1580
AECIBNSEFCIDJ5TLCTF6EABM55PQ,1,1,1770
AECK3BJSJOAFSKAAUD4ILDFXZ7KQ,2,2,2406
AECKU4ZPHHQE3ZSFLDTO3ZGPFKMA,1,1,2737
AECMMWFRKTOFQM2KIG6Y5LU3IHEQ,1,1,2634
AECNLTI4ESYH4VD7PNNS5CGLTS2A,1,1,2831
AECOHBS2JG7YTB7SXWZAL6BK2GWA,1,1,2532
AECPDURQ2KMD5FB6JAHM5C4Z32HQ,2,2,987
AECPKV55FXHN7NT3FZ6TTNTVZ42Q,1,1,1212
AECPMAEJSYYD23UYKOADPPIEGVYA,2,2,308
AECPZQITGKJS4O5XYMI32OFAHCJA,1,1,749
AECQIFURJRHNZXBWSQCZEA6V3APQ,1,1,1919
AECQSU4MZ746KKZ27AJS2AHF2AUA,1,1,3042
AECRV4RVPWIOSQQ7AY2CJHYO7BLA,5,5,284
AECSPK7W2SUTAZD2GBBH4D4AMFBA,1,1,5622
AECU5G5N7OSZDTE2ETVULZINKHHA,1,1,955
AECWZS4GONIY6NEZWVRQCZUINO5Q,1,1,2895
AECXLOXE7CP2KTGNDWPTKSCSGZ2Q,8,8,1101
AECXUOGFS5P25OEF7JRJZXIRFCDA,2,2,3379
AECXUX4CMPAJGNENGFOHPYCRB3EA,3,3,5674
AECYKJV5EQZFJODBA3VGFJRZ5MEA,1,1,4681
AECYUS2KPJDGNS3SPUU6C6EBZX4Q,1,1,2605
AED5LMSGUCDU443LODXZ4EYGEMKQ,1,1,2327
AED5VKZVSF7PC3TOET3PKBA5J2JA,13,13,53
AEDB2WFGSUHI7BUWXNHS45KI6X2A,1,1,68
AEDCEYFL3Q6AR3LBBW6KUGLIUZSA,1,1,2388
AEDDULPRRWJ3YVRQJEN56ENGJUDQ,1,1,941
AEDFMGK4I5ZKJD7SMT2DXDMPIBSA,1,1,3690
AEDGL5YNO7RJM3ZELOCGW6V7LMCA,1,1,2629
AEDHXXX2F66EMWOSSPCQHS62UKNQ,38,38,1022
AEDJA3DZE2NRQHXEREBKMZKEXUPA,2,2,244
AEDJGRNGLDCSPDQ4JNQJ7CPOB7PA,1,1,528
AEDJVPROO4BDZVXAVXWZI5IVCZQQ,1,1,47
AEDJZTFJDNOW6JDLMBZNK2QBN3GQ,13,13,201
AEDKMXFNRORNCFUMIVSRCXZHQXQA,2,2,502
AEDMZZ6MWGGX4RVMRIMG27LSUDZQ,1,1,2397
AEDNNPW6JQ4H6NPMF2FYMIUZOTGQ,21,21,18
AEDO62TLAI4YOHUV2RBYMGKY2WRA,2,2,318
AEDPXS6OX5MDZWZ6UNW4W2TJBDMA,1,1,879
AEDQPYY76IMRKDA2HGWZ7STA6V2A,9,9,2219
AEDQTJTWAISEO6O7RWFEVJHZ3R5A,1,1,2103
AEDRFOIY6IFY7DWSPRRNGEFIFE2Q,29,29,293
AEDSHXCRSJ57WFVKHAVIS2ER2ADQ,1,1,1611
AEDTBVJFD2IDHXKKY7DZSNKYUQ7Q,3,3,1033
AEDTXOC3YW6O7P2UPM22VNNRF77A,4,4,6889
AEDTZCI4QCLKRFL5DA53JL47Z5UQ,3,3,703
AEDUD7Z3NL2HLDOSTMUTZACOABRQ,1,1,2956
AEDVPDZLOTFVVBIO5USWHEHM3EHA,1,1,4748
AEDWKL5XHI2IRVNK2RTBOU7X7C3Q,1,1,469
AEDWRRZADBQDUTW7HBIWH4QSMUPQ,4,4,942
AEDWYRQ2KCNDP32XD6QDGF6H6O5A,1,1,2336
AEE24FRNWQGT5GGFMFSDB7XXVGPA,1,1,1878
AEE2PYYDXJGV6ZO3YHZBBEMSUG4Q,4,4,1322
AEE3TDZND3EFQLDZE3NWYTHC44IA,1,1,1520
AEE4BXFE7TFTVFCF67SANXQOQBVA,26,26,12
AEE73ITH4FMRJH326B2F7E5QXAVQ,1,1,3480
AEE7HJ4ALXIF445HXTCSCNNI2UJQ,4,4,968
AEE7M6SSLM6MOAKW7X5KGVI3QVHQ,1,1,2862
AEEE65AUS66BL63NNQR354KQBHDA,2,2,3064
AEEEESRIF6WSCNK5IZGYC4JTEVRA,1,1,3124
AEEFMGZPLL5SFSPYSXWDJXFSRTKA,8,8,1872
AEEH3I477FCAF4ODVKVNU2BV7MCQ,1,1,2418
AEEJBFZKUBEEMBZUZJV4UHFVEEBQ,2,2,797
AEEM2QIBMUUXEAJIEQH2WT2KNZZA,3,3,257
AEEM5MOB37EQJMFH37Q5S3FTNDCA,3,3,3364
AEEOWWDWGCIOD4A76QBFBYWPAOWQ,1,1,1115
AEEPQNBGOQFIIR36NAUCIFL5F3MQ,11,11,79
AEERNRTIXU7UHRJNHJU5YLYFYKVA,1,1,583
AEF3JXPYJL5ILD6M2QONVD7FBTKA,4,4,1155
AEF4REQMG4I6Y2JLLKMQE4U2QYXQ,1,1,5997
AEF6BL2GCQFLEUYM6O4O37VYMX2A,2,2,1264
AEF73L7G43IKVL33U4FCOPM7D6VQ,12,12,158
AEFBZVDIVRDLTNPKEPKAOFR2QPRQ,2,2,2885
AEFCCVG7774SPHY5NVTYKXAM55UA,1,1,7605
AEFDUJP4ZD3QWM5PBUFB7CCKOUNA,1,1,1343
AEFEQA3KTVUYGB2YBVMK6DDPOYAA,1,1,1320
AEFEZIYEZG7XTSPDTFIUQXWMGEDQ,3,3,358
AEFFEFBOJH4AZHFUE6O3PRLMGGNQ,14,14,1176
AEFFENLWFV4VD4WTZNN25XD2TX6Q,2,2,1396
AEFHDB4HOJSHJ6YZF5NYIQULOUYA,1,1,3417
AEFHGLOYQK7M6C3H2VZIAEQLMDDQ,1,1,1618
AEFHQE7GHY2O23AJESRJ2NYVVPSQ,1,1,2839
AEFIZWO3P6NV4AFJDRGBNNUDXE3Q,2,2,351
AEFKF6R2GUSK2AWPSWRR4ZO36JVQ,54,54,303
AEFLH72MFY4GRTNI3KZXNE4IUB2Q,3,3,277
AEFLZ7L6TGJDCP4D4KYZSOXLSWVA,4,4,423
AEFNBEO2F23NURCMGEW2U7BIEAWA,1,1,3403
AEFNUVMRYZ3KJXQ2IBNNWCZHRZ7Q,1,1,216
AEFPR4MO6FE3KX4CMKTNWRRPVXNQ,1,1,5294
AEFPXQRXU3XJCFVSVPUQSKAKIIFA,1,1,2806
AEFQMLX72KCIFGZ634KPTI4H4UCQ,1,1,2057
AEFRDA6JMSWHDFWB3WKM3YKVUNIA,1,1,3167
AEFSYJ74RDBN7I4N5VCIXXYUBKHA,1,1,3182
AEFVBJSXZ77TPGBXVOFDC3R2HNTA,4,4,1505
AEFY3OUHLE6LD6FJZRQQTXUM3YKA,1,1,2458
AEG55OACXBGEO7R7QFKTQHFOW3HA,3,3,174
AEGA3SKGBQDJED7SUGKIIIKFN4LQ,1,1,1412
AEGAMGWOMGCWN3UZ3UEPXAHDLT7Q,1,1,1167
AEGB75NR3YIMYKZWHN7VCQTHMHSQ,2,2,1336
AEGFGSYN3POFMUCGBXGA37WYWW3Q,17,17,103
AEGHILC3CT4QCWZU4YID4KYLSPOA,1,1,171
AEGIKB526CGSEZKOOAGDOECZUDAA,1,1,4109
AEGIRIDDNTVLPDPOENITR7TGRIIQ,1,1,1922
AEGKGLKVBES5JY4PC67HV7NK4ZLQ,1,1,748
AEGMEALSBY7SRIOQAEOXK2IPD6WA,1,1,1314
AEGMGLTFMCWKYL6SXPMC7TDUOPDQ,1,1,2248
AEGP4K2EXLUNIH4AEK7MUE63SJLA,3,3,260
AEGQKT5UKTJWZNBNFWQLZRFCMFZQ,1,1,2282
AEGSGSUXR3LH6KQWOH22QWKRQ4XA,1,1,2648
AEGSJMUN6YF5UUOFDDMPNC5Q5BOQ,3,3,166
AEGT6GE3DDJZA62P64RUATRFKNAQ,1,1,2009
AEGVEWWGTQO3PK3JF5NYB7GSSSVQ,1,1,1132
AEGVUPMHKYGFVGSWSMAKCN6LLCOA,1,1,2327
AEGWB6TKO55D5VOFRRWVBFQXB4FQ,1,1,4557
AEGWBVF7PNFDBUXXHG2ILSDATSSQ,1,1,2982
AEGX3J5FCNGB53YHQNBNV6JVARRA,3,3,2219
AEGXA7TRC652QBKCF2TMLFD7TYZA,1,1,205
AEGYM5EJXATORBAA5GIYKNXLVPPQ,1,1,2280
AEGZCTBT5CHDBYAOUAVANB2O42BA,1,1,921
AEGZGTDZGAKIOGAFUQRYGAXQ53MQ,2,2,4255
AEH2X3QQ7TQJGF6EKISLBNVVNWQA,1,1,2430
AEH4YAKNQXUWPJT4D2UG3JEHN2NQ,1,1,990
AEH66QD7CSPM7ZVH7D7LRSA5HSNQ,51,51,122
AEH6IYENFKTLSVR6QHSNIJEBCQBA,1,1,760
AEH6NGAY2BZCGDYMOVQ7QPHRMSIQ,3,3,559
AEH7P323UG6THNH4C7POZIK4A72A,8,8,1954
AEHL4V6GSVO4O74IBGPPODTERIFA,1,1,4649
AEHMAK3OJBEB6X2O6THASYNGKHVQ,1,1,3018
AEHMQSTB6ESWFAT4AHROTV6M7VWA,1,1,2659
AEHNBWGO4HDWTBVNQQEZTJ37VRNA,2,2,23
AEHOUKDUSHPOEDHAISNAVI7ANZHA,3,3,649
AEHPFU2KC7ZNEU5FVCJQEQV5NZWQ,1,1,3866
AEHPS5NUGKYRMLCLDUJQQSBUHCPQ,1,1,2193
AEHQSZPKDWC2VNXIIRGUOIKH5PAA,6,6,124
AEHQZQG2S7HDP5BGTYWUCMV62WAQ,1,1,1107
AEHS6BRPUEQG6NVTBOX5YXPROY7A,2,2,2318
AEHSPDRMBKKRMORA3AJR74UOCW4Q,1,1,281
AEHUXAEM2PGGIF5RKDWUG5DQQXOQ,1,1,1733
AEHVSZ72XXI4SU6XUNXMJAXUYN6Q,2,2,2448
AEHWECNK65HS7NQNSESM632FEUJA,1,1,1279
AEHWOWAIPMPP2EN6C24JJQROQ5VQ,3,3,638
AEHWUHNTB5FX32HJ7UBOZ2WWUX3Q,62,62,82
AEHZXP35GBAQS4TD74JRUOFZI7SA,1,1,2457
AEHZZWYMY2FFELDYM2YRS7SUSWLA,1,1,2845
AEI36HGRFOQF7RDQH5FIH5RNVG6Q,2,2,1929
AEI3YFOJFBVAG54LKKVUHDTW64DA,1,1,1662
AEI4TPGU6XI3PQ2VLXGLNBDX7NTA,1,1,1806
AEI4YPQZG6TZOWHDFP7I22S4MQZQ,10,10,155
AEI63HS5MN6TIWXNZUMDQRDAMXTQ,1,1,2436
AEI6N63YVUXCUAELLNTKUVBJOAVA,1,1,849
AEI6TPJRSHLYHKRSIVD3OFIMAHAA,1,1,43
AEI77MIQDTGYTCQMY5HGCYLKWXEA,2,2,659
AEI7RTDKV7AILIRFSTO6ASJ5XWWA,1,1,1259
AEIA5Z6AZVK4X3O7K55CVIOMC46Q,1,1,216
AEIAFPI4OVACQ3FATZLIGP767SIA,2,2,2174
AEIARIRYK2JJ7YHELWXQUFHJSI4A,3,3,964
AEIBEZBGHEG54UXYFZYGPRUTBJVA,4,4,85
